encoder_id,model_id,project,development_records,fits_without_truncation,requires_truncation,truncation_percentage,token_length_min,token_length_mean,token_length_max,max_sequence_length
E1,sentence-transformers/all-MiniLM-L6-v2,BIRT,16905,12783,4122,24.383318544809228,3,441.89807749186633,25089,256
E1,sentence-transformers/all-MiniLM-L6-v2,CDT,15764,10350,5414,34.34407510784065,3,406.81787617356,35084,256
E1,sentence-transformers/all-MiniLM-L6-v2,EQUINOX,10498,6704,3794,36.14021718422556,3,458.2428081539341,26244,256
E1,sentence-transformers/all-MiniLM-L6-v2,JDT,42460,27703,14757,34.75506358926048,3,488.3391191709845,152257,256
E1,sentence-transformers/all-MiniLM-L6-v2,MYLYN,7738,5878,1860,24.037218919617473,4,406.9348668906694,22615,256
E1,sentence-transformers/all-MiniLM-L6-v2,PAPYRUS,8728,7221,1507,17.26626947754354,4,343.81106782768103,23526,256
E1,sentence-transformers/all-MiniLM-L6-v2,PDE,12474,8691,3783,30.327080327080324,4,401.36940836940835,43926,256
E1,sentence-transformers/all-MiniLM-L6-v2,PLATFORM,85442,58492,26950,31.541864656726197,3,502.52454296481824,55561,256
E1,sentence-transformers/all-MiniLM-L6-v2,TPTP,7566,5530,2036,26.90985989955062,4,363.0099127676447,26676,256
E2,sentence-transformers/all-mpnet-base-v2,BIRT,16905,14148,2757,16.308784383318546,3,441.89807749186633,25089,384
E2,sentence-transformers/all-mpnet-base-v2,CDT,15764,12486,3278,20.794214666328344,3,406.81787617356,35084,384
E2,sentence-transformers/all-mpnet-base-v2,EQUINOX,10498,7975,2523,24.03314917127072,3,458.2428081539341,26244,384
E2,sentence-transformers/all-mpnet-base-v2,JDT,42460,32668,9792,23.061705134243997,3,488.3391191709845,152257,384
E2,sentence-transformers/all-mpnet-base-v2,MYLYN,7738,6265,1473,19.035926596019642,4,406.9342207288705,22615,384
E2,sentence-transformers/all-mpnet-base-v2,PAPYRUS,8728,7696,1032,11.824014665444546,4,343.81106782768103,23526,384
E2,sentence-transformers/all-mpnet-base-v2,PDE,12474,9987,2487,19.93746993746994,4,401.36940836940835,43926,384
E2,sentence-transformers/all-mpnet-base-v2,PLATFORM,85442,66932,18510,21.66381873083495,3,502.52454296481824,55561,384
E2,sentence-transformers/all-mpnet-base-v2,TPTP,7566,6266,1300,17.18213058419244,4,363.0099127676447,26676,384
